"season"	"week_num"	"day_of_week"	"gametime_local"	"home_team"	"away_team"	"home_score"	"away_score"	"OT_flag"	"arrests"	"division_game"
"480"	2013	7	"Sunday"	"3:25:00 PM"	"Kansas City"	"Houston"	17	16	""	2	"n"
"526"	2015	11	"Sunday"	"1:00:00 PM"	"Miami"	"Dallas"	14	24	""	1	"n"
"567"	2015	9	"Sunday"	"1:00:00 PM"	"New England"	"Washington"	27	10	""	2	"n"
"315"	2012	8	"Sunday"	"12:00:00 PM"	"Green Bay"	"Jacksonville"	24	15	""	1	"n"
"20"	2013	8	"Sunday"	"1:25:00 PM"	"Arizona"	"Atlanta"	27	13	""	2	"n"
"366"	2013	13	"Sunday"	"12:00:00 PM"	"Houston"	"New England"	31	34	""	0	"n"
"393"	2012	3	"Sunday"	"1:00:00 PM"	"Indianapolis"	"Jacksonville"	17	22	""	0	"y"
"355"	2012	7	"Sunday"	"12:00:00 PM"	"Houston"	"Baltimore"	43	13	""	1	"n"
"957"	2014	15	"Sunday"	"3:05:00 PM"	"Tennessee"	"New York Jets"	11	16	""	2	"n"
"403"	2013	7	"Sunday"	"8:30:00 PM"	"Indianapolis"	"123Denver"	39	33	""	10	"n"
"26"	2014	3	"Sunday"	"1:05:00 PM"	"Arizona"	"123San Francisco"	23	14	""	6	"y"
"777"	2012	3	"Sunday"	"1:05:00 PM"	"San Diego"	"123Atlanta"	3	27	""	47	"n"
